Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,2.072700,2.074500,2.057200,2.059200,2.059200,0
2003-12-02,2.060200,2.082200,2.055500,2.078600,2.078600,0
2003-12-03,2.078400,2.082700,2.072900,2.079600,2.079600,0
2003-12-04,2.079800,2.080700,2.063000,2.068700,2.068700,0
2003-12-05,2.069400,2.087900,2.069200,2.087200,2.087200,0
2003-12-08,2.084700,2.094200,2.076900,2.090200,2.090200,0
2003-12-09,2.090200,2.101500,2.087700,2.095700,2.095700,0
2003-12-10,2.095300,2.100800,2.082100,2.088700,2.088700,0
2003-12-11,2.088800,2.098600,2.077600,2.095600,2.095600,0
2003-12-12,2.094500,2.108700,2.088700,2.095300,2.095300,0
2003-12-15,2.087400,2.106100,2.081500,2.103400,2.103400,0
2003-12-16,2.102800,2.108900,2.097700,2.101800,2.101800,0
2003-12-17,2.100900,2.121400,2.098600,2.117200,2.117200,0
2003-12-18,2.117200,2.123200,2.112300,2.118900,2.118900,0
2003-12-19,2.118800,2.122800,2.109600,2.115200,2.115200,0
2003-12-22,2.110200,2.127300,2.110200,2.116800,2.116800,0
2003-12-23,2.116600,2.146900,2.114000,2.116000,2.116000,0
2003-12-24,2.116300,2.126500,2.115700,2.123100,2.123100,0
2003-12-25,2.123500,2.126600,2.117400,2.122300,2.122300,0
2003-12-26,2.122500,2.126400,2.116100,2.119600,2.119600,0
2003-12-29,2.119000,2.129700,2.117200,2.124300,2.124300,0
2003-12-30,2.123800,2.138800,2.122600,2.135400,2.135400,0
2003-12-31,2.136000,2.147100,2.125000,2.136900,2.136900,0
2004-01-01,2.140600,2.140600,2.117300,2.135900,2.135900,0
2004-01-02,2.136000,2.147700,2.128000,2.141700,2.141700,0
2004-01-05,2.150300,2.158000,2.146500,2.152800,2.152800,0
2004-01-06,2.152900,2.173500,2.149700,2.158300,2.158300,0
2004-01-07,2.158500,2.167700,2.139000,2.143200,2.143200,0
2004-01-08,2.143000,2.164800,2.128300,2.163400,2.163400,0
2004-01-09,2.163200,2.176600,2.155500,2.174400,2.174400,0
2004-01-12,2.169600,2.180300,2.153800,2.154300,2.154300,0
2004-01-13,2.154300,2.168200,2.151400,2.165000,2.165000,0
2004-01-14,2.164600,2.164600,2.117300,2.154800,2.154800,0
2004-01-15,2.141900,2.150000,2.130400,2.136500,2.136500,0
2004-01-16,2.136900,2.139800,2.103400,2.108400,2.108400,0
2004-01-19,2.107500,2.119900,2.105100,2.110600,2.110600,0
2004-01-20,2.110500,2.149400,2.109500,2.147700,2.147700,0
2004-01-21,2.147000,2.158900,2.137700,2.147300,2.147300,0
2004-01-22,2.147500,2.159700,2.140400,2.152600,2.152600,0
2004-01-23,2.152600,2.161200,2.131100,2.136200,2.136200,0
2004-01-26,2.131100,2.136300,2.112700,2.117800,2.117800,0
2004-01-27,2.117400,2.144000,2.110100,2.142200,2.142200,0
2004-01-28,2.142800,2.142800,2.106800,2.110600,2.110600,0
2004-01-29,2.110800,2.127000,2.095800,2.108300,2.108300,0
2004-01-30,2.114900,2.117200,2.098900,2.107600,2.107600,0
2004-02-02,2.113400,2.116300,2.098200,2.103000,2.103000,0
2004-02-03,2.123100,2.128400,2.116900,2.122700,2.122700,0
2004-02-04,2.122300,2.128400,2.116900,2.124400,2.124400,0
2004-02-05,2.123100,2.137200,2.119300,2.128400,2.128400,0
2004-02-06,2.127200,2.144300,2.120200,2.140000,2.140000,0
2004-02-09,2.134100,2.150200,2.129000,2.136200,2.136200,0
2004-02-10,2.135700,2.143200,2.122500,2.124800,2.124800,0
2004-02-11,2.125000,2.145300,2.116800,2.138500,2.138500,0
2004-02-12,2.138800,2.151100,2.138000,2.143800,2.143800,0
2004-02-13,2.143200,2.156400,2.129600,2.131600,2.131600,0
2004-02-16,2.131300,2.140800,2.128300,2.136000,2.136000,0
2004-02-17,2.136000,2.157600,2.135400,2.152700,2.152700,0
2004-02-18,2.152400,2.160600,2.127400,2.136400,2.136400,0
2004-02-19,2.136600,2.148400,2.128100,2.146700,2.146700,0
2004-02-20,2.146500,2.147000,2.118600,2.127700,2.127700,0
2004-02-23,2.119100,2.132700,2.109800,2.129400,2.129400,0
2004-02-24,2.128800,2.151900,2.124600,2.140000,2.140000,0
2004-02-25,2.139800,2.145800,2.113300,2.117000,2.117000,0
2004-02-26,2.116500,2.122700,2.102400,2.117100,2.117100,0
2004-02-27,2.118400,2.123200,2.099400,2.116500,2.116500,0
2004-03-01,2.120000,2.129100,2.111400,2.117400,2.117400,0
2004-03-02,2.122900,2.122900,2.083500,2.085200,2.085200,0
2004-03-03,2.085200,2.091700,2.066500,2.084800,2.084800,0
2004-03-04,2.085100,2.098300,2.075600,2.095500,2.095500,0
2004-03-05,2.095000,2.123600,2.084700,2.117300,2.117300,0
2004-03-08,2.117300,2.120200,2.109000,2.115500,2.115500,0
2004-03-09,2.115100,2.121800,2.096300,2.104100,2.104100,0
2004-03-10,2.115100,2.121800,2.088800,2.093900,2.093900,0
