Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,25.122339,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,25.301025,480500
2/2/1993,44.21875,44.375,44.125,44.34375,25.354635,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,25.622648,529400
2/4/1993,44.96875,45.09375,44.46875,45,25.729856,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,25.711998,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,25.711998,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,25.533323,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,25.569036,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,25.694141,19500
2/12/1993,44.875,44.875,44.59375,44.59375,25.497574,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,24.854322,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,24.836454,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,24.818583,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,24.907932,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,24.997263,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,24.979401,373700
2/24/1993,43.71875,44.25,43.71875,44.25,25.301025,26300
2/25/1993,44.21875,44.375,44.125,44.34375,25.354635,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,25.390352,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,25.318878,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,25.694141,182400
3/3/1993,45,45.15625,44.9375,45.125,25.801321,280100
3/4/1993,45.1875,45.1875,44.875,44.875,25.658384,89500
3/5/1993,44.9375,45.125,44.71875,44.75,25.586927,40000
3/8/1993,44.84375,45.75,44.84375,45.75,26.158688,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,26.06934,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,26.122946,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,26.051472,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,25.783464,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,25.908546,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,25.908546,30800
3/17/1993,45.25,45.25,44.96875,45.03125,25.747746,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,25.908546,59300
