model_type,trial_id,val_loss,val_accuracy,accuracy,num_GRU_layers,units_first,activation,kernel_initializer,dropout,recurrent_dropout,num_dense_layers,units,bias_initializer,dropout_rate,learning_rate,focal_gamma,focal_alpha
sell_trials_GRU,00,2945.185302734375,0.9950781464576721,0.9956250190734863,2,32,gelu,glorot_normal,0.4,0.2,2,32,glorot_normal,0.2,0.00905127409782462,2.5,0.9
sell_trials_GRU,01,1270.413330078125,0.9950781464576721,0.9953906536102295,1,128,relu,he_normal,0.15000000000000002,0.2,1,128,glorot_normal,0.30000000000000004,0.0006752863927347823,1.0,0.1
sell_trials_GRU,02,12580.84765625,0.9950781464576721,0.9952734112739563,3,96,tanh,glorot_normal,0.1,0.15000000000000002,2,64,glorot_normal,0.4,0.004255555813913329,1.0,0.30000000000000004
sell_trials_GRU,03,5353.75244140625,0.9950781464576721,0.9575781226158142,2,32,gelu,he_normal,0.15000000000000002,0.35,1,64,zeros,0.2,0.00014690651027379393,2.0,0.9
sell_trials_GRU,04,7663.07666015625,0.9950781464576721,0.9960156083106995,2,128,gelu,glorot_normal,0.2,0.2,1,96,zeros,0.5,0.008316141310476274,3.0,0.7000000000000001
sell_trials_GRU,05,470.5321350097656,0.004999999888241291,0.37144529819488525,1,32,relu,he_normal,0.35,0.25,1,32,he_normal,0.5,0.0003021384939866327,2.5,0.9
sell_trials_GRU,06,5250.86865234375,0.9950781464576721,0.9767187237739563,2,32,gelu,glorot_normal,0.4,0.4,2,32,he_normal,0.30000000000000004,0.0010953574938066576,1.5,0.4
sell_trials_GRU,07,5863.048828125,0.9950781464576721,0.995312511920929,2,64,tanh,he_normal,0.1,0.15000000000000002,1,128,glorot_normal,0.30000000000000004,0.0064974404904634625,2.0,0.8
sell_trials_GRU,08,4039.46728515625,0.9950781464576721,0.9925390481948853,1,96,gelu,glorot_normal,0.35,0.30000000000000004,2,128,zeros,0.30000000000000004,0.0009452767099282696,2.5,0.7000000000000001
sell_trials_GRU,09,5627.947265625,0.004921874962747097,0.05113281309604645,2,32,gelu,glorot_normal,0.25,0.1,1,32,zeros,0.4,0.0003243806953412315,2.5,0.8
sell_trials_GRU,10,17940.931640625,0.9950781464576721,0.8316406011581421,2,64,tanh,glorot_normal,0.1,0.4,2,128,zeros,0.30000000000000004,0.0008019212661756024,1.0,0.30000000000000004
